Country,Population 2024,Population 2025
Australia,27260000,27580000
Austria,9132000,9160000
Belgium,11828000,11860000
Canada,41288000,41760000
Chile,19960000,20070000
Colombia,52696000,53080000
Costa Rica,5246000,5280000
Czechia,10876000,10880000
Denmark,5975000,6000000
Estonia,1370000,1360000
Finland,5604000,5610000
France,66143000,66370000
Germany,84360000,84690000
Greece,10413000,10396000
Hungary,9592000,9577000
Iceland,393000,398000
Ireland,5281000,5330000
Italy,58990000,58940000
Japan,123753000,123250000
Republic of Korea,51750000,51670000
Latvia,1873000,1860000
Lithuania,2885000,2870000
Luxembourg,672000,680000
Mexico,130861000,131650000
Netherlands,18030000,18110000
New Zealand,5338000,5400000
Norway,5562000,5590000
Poland,37991000,37858000
Portugal,10639000,10630000
Slovakia,5424000,5420000
Slovenia,2123000,2120000
Spain,48592000,49117000
Sweden,10612000,10670000
Switzerland,8981000,9030000
Türkiye,86260000,86900000
United Kingdom,68865000,69250000
United States,345426000,347900000
Argentina,46654000,47020000
Brazil,211998000,213160000
Bulgaria,6644000,6600000
China,1419321000,1418900000
Croatia,3990000,3970000
Cyprus,1331000,1340000
India,1450935000,1464110000
Malta,557000,560000
North Macedonia,2029000,2020000
Romania,19892000,19850000
Serbia,6614000,6590000
