CountryID,Country,Currency,Measure,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
4,Afghanistan,Afghani,AMA exchange rate,49.93,49.96,50.25,50.33,46.45,46.75,50.92,55.38,57.25,61.14,67.87,68.03,72.08,77.74,76.81,82.53,90.54,82.68
4,Afghanistan,Afghani,IMF based exchange rate,49.93,49.96,50.25,50.33,46.45,46.75,50.92,55.38,57.25,61.14,67.87,68.03,72.08,77.74,76.81,82.53,90.54,82.68
4,Afghanistan,,Population,"25,424,094","25,909,852","26,482,622","27,466,101","28,284,089","29,347,708","30,560,034","31,622,704","32,792,523","33,831,764","34,700,612","35,688,935","36,743,039","37,856,121","39,068,979","40,000,412","40,578,842","41,454,761"
8,Albania,Lek,AMA exchange rate,98.10,90.43,83.89,94.98,103.94,100.90,108.18,105.67,105.48,125.96,124.14,119.10,107.99,109.85,108.65,103.52,113.04,100.65
8,Albania,Lek,IMF based exchange rate,98.10,90.43,83.89,94.98,103.94,100.90,108.18,105.67,105.48,125.96,124.14,119.10,107.99,109.85,108.65,103.52,113.04,100.65
8,Albania,,Population,"3,050,809","3,022,887","2,992,930","2,961,479","2,928,722","2,911,504","2,910,004","2,907,573","2,903,749","2,898,632","2,897,867","2,898,242","2,894,231","2,885,010","2,871,954","2,849,635","2,827,608","2,811,655"
12,Algeria,Algerian Dinar,AMA exchange rate,72.65,69.29,64.58,72.65,74.39,72.94,77.54,79.37,80.58,100.69,109.44,110.97,116.59,119.35,126.78,135.06,141.99,135.84
12,Algeria,Algerian Dinar,IMF based exchange rate,72.65,69.29,64.58,72.65,74.39,72.94,77.54,79.37,80.58,100.69,109.44,110.97,116.59,119.35,126.78,135.06,141.99,135.84
12,Algeria,,Population,"33,623,506","34,189,416","34,816,961","35,490,445","36,188,236","36,903,376","37,646,166","38,414,171","39,205,031","40,019,529","40,850,721","41,689,299","42,505,035","43,294,546","44,042,091","44,761,099","45,477,389","46,164,219"
20,Andorra,Euro,AMA exchange rate,0.80,0.73,0.68,0.72,0.75,0.72,0.78,0.75,0.75,0.90,0.90,0.89,0.85,0.89,0.88,0.85,0.95,0.92
20,Andorra,Euro,IMF based exchange rate,0.80,0.73,0.68,0.72,0.75,0.72,0.78,0.75,0.75,0.90,0.90,0.89,0.85,0.89,0.88,0.85,0.95,0.92
20,Andorra,,Population,"79,585","81,877","83,495","83,888","80,706","77,783","76,834","75,194","73,737","72,174","72,181","73,763","75,162","76,474","77,380","78,364","79,705","80,856"
24,Angola,Kwanza,AMA exchange rate,80.37,76.71,75.03,79.33,91.91,93.93,95.47,96.52,98.30,120.06,163.66,165.92,252.86,364.83,578.26,631.44,460.57,685.02
